time,diameter,pressure
0,0.6654423,84.5792549
0.5,0.6655843,84.7868504
1,0.6657379,84.9788519
1.5,0.6659025,85.1558555
2,0.6660776,85.3184573
2.5,0.6662626,85.4672536
3,0.6664569,85.6028403
3.5,0.6666599,85.7258138
4,0.6668711,85.8367701
4.5,0.6670898,85.9363054
5,0.6673155,86.0250158
5.5,0.6675477,86.1034975
6,0.6677857,86.1723466
6.5,0.668029,86.2321592
7,0.6682769,86.2835316
7.5,0.668529,86.3270597
8,0.6687846,86.3633399
8.5,0.6690432,86.3929682
9,0.6693042,86.4165408
9.5,0.6695669,86.4346538
10,0.6698309,86.4479034
10.5,0.6700956,86.4568857
11,0.6703603,86.4621968
11.5,0.6706245,86.4644329
12,0.6708876,86.4641902
12.5,0.6711491,86.4620648
13,0.6714084,86.4586528
13.5,0.6716648,86.4545504
14,0.6719179,86.4503537
14.5,0.672167,86.4466588
15,0.6724115,86.444062
15.5,0.672651,86.4431593
16,0.6728847,86.4445469
16.5,0.6731122,86.448821
17,0.6733328,86.4565777
17.5,0.6735461,86.4684131
18,0.6737513,86.4849233
18.5,0.6739479,86.5067046
19,0.6741354,86.5343531
19.5,0.6743131,86.5684649
20,0.6744807,86.6096361
20.5,0.6746382,86.6584544
21,0.6747863,86.7151411
21.5,0.6749254,86.7794195
22,0.6750563,86.8509773
22.5,0.6751794,86.9295021
23,0.6752953,87.0146815
23.5,0.6754046,87.1062033
24,0.6755078,87.2037552
24.5,0.6756055,87.3070247
25,0.6756983,87.4156996
25.5,0.6757867,87.5294676
26,0.6758714,87.6480162
26.5,0.6759528,87.7710333
27,0.6760315,87.8982064
27.5,0.6761082,88.0292232
28,0.6761833,88.1637715
28.5,0.6762574,88.3015388
29,0.6763311,88.4422128
29.5,0.676405,88.5854813
30,0.6764795,88.7310318
30.5,0.6765549,88.8785559
31,0.6766313,89.0277785
31.5,0.6767087,89.1784418
32,0.6767873,89.3302884
32.5,0.6768671,89.4830606
33,0.6769483,89.636501
33.5,0.6770311,89.7903519
34,0.6771154,89.9443559
34.5,0.6772014,90.0982554
35,0.6772893,90.2517928
35.5,0.677379,90.4047107
36,0.6774708,90.5567514
36.5,0.6775647,90.7076574
37,0.6776609,90.8571711
37.5,0.6777594,91.0050351
38,0.6778603,91.1509917
38.5,0.6779639,91.2947835
39,0.6780701,91.4361529
39.5,0.678179,91.5748422
40,0.6782909,91.7106006
40.5,0.6784056,91.8433646
41,0.6785228,91.973282
41.5,0.678642,92.100512
42,0.6787629,92.2252136
42.5,0.6788851,92.3475459
43,0.679008,92.4676681
43.5,0.6791314,92.5857392
44,0.6792547,92.7019184
44.5,0.6793775,92.8163648
45,0.6794995,92.9292374
45.5,0.6796202,93.0406954
46,0.6797391,93.1508979
46.5,0.679856,93.2600039
47,0.6799702,93.3681727
47.5,0.6800815,93.4755632
48,0.6801894,93.5823347
48.5,0.6802935,93.6886461
49,0.6803933,93.7946567
49.5,0.6804885,93.9005254
50,0.6805786,94.0064115
50.5,0.6806633,94.1124392
51,0.6807428,94.218463
51.5,0.6808176,94.3242109
52,0.6808886,94.4294104
52.5,0.6809561,94.5337888
53,0.681021,94.6370735
53.5,0.6810838,94.738992
54,0.6811451,94.8392716
54.5,0.6812056,94.9376397
55,0.6812659,95.0338237
55.5,0.6813267,95.127551
56,0.6813884,95.2185489
56.5,0.6814519,95.306545
57,0.6815176,95.3912665
57.5,0.6815863,95.4724408
58,0.6816585,95.5497954
